company,website,description,contact_name,contact_title,contact_link,recipient_email
ReelShort,https://www.reelshort.com,,,Head of Content or Production,,
DramaBox,https://www.dramaboxdb.com,,Yiwei,Content/Production,,
Runway,https://runwayml.com,,,Partnerships Manager,,
My Drama,https://my-drama.com,,,Head of Content,,
Pocket FM,https://www.pocketfm.com,,,Business Development Manager,,
ShortMax,www.shortmax.tv,Short-form vertical drama platform expanding mobile drama content,Dora Wang,Senior Executive,,
